Project,File,Folder,Absolute path,Role,Destination,Status
Kenyan Tax and Household Finance,Verification.json,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Verification.json,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Tax and Household Finance,how can we help this guy reduce his taxes in Kenya.md,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/how can we help this guy reduce his taxes in Kenya.md,Original topic manuscript,Research source,Retained existing file
Kenyan Tax and Household Finance,how is paye calculated with KRA.md,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/how is paye calculated with KRA.md,Original topic manuscript,Research source,Retained existing file
Kenyan Tax and Household Finance,private pension plans that are tax deductible.md,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/private pension plans that are tax deductible.md,Original topic manuscript,Research source,Retained existing file
Kenyan Tax and Household Finance,01-PAYE-and-Cash-Flow.xlsx,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/01-PAYE-and-Cash-Flow.xlsx,Financial model workbook,Companion download; YouTube demonstration,Retained existing file
Kenyan Tax and Household Finance,02-Pensions-and-Retirement.xlsx,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/02-Pensions-and-Retirement.xlsx,Financial model workbook,Companion download; YouTube demonstration,Retained existing file
Kenyan Tax and Household Finance,03-Medical-and-Emergency-Funds.xlsx,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/03-Medical-and-Emergency-Funds.xlsx,Financial model workbook,Companion download; YouTube demonstration,Retained existing file
Kenyan Tax and Household Finance,04-Mortgages-and-Housing.xlsx,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/04-Mortgages-and-Housing.xlsx,Financial model workbook,Companion download; YouTube demonstration,Retained existing file
Kenyan Equities and Company Analysis,01-Screening-and-Income.xlsx,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/kenyan-equities,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/kenyan-equities/01-Screening-and-Income.xlsx,Financial model workbook,Companion download; YouTube demonstration,Retained existing file
Kenyan Equities and Company Analysis,02-Statements-and-Valuation.xlsx,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/kenyan-equities,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/kenyan-equities/02-Statements-and-Valuation.xlsx,Financial model workbook,Companion download; YouTube demonstration,Retained existing file
Kenyan Equities and Company Analysis,03-Portfolio-Construction.xlsx,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/kenyan-equities,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/kenyan-equities/03-Portfolio-Construction.xlsx,Financial model workbook,Companion download; YouTube demonstration,Retained existing file
Kenyan Equities and Company Analysis,04-Compounding-and-Simulation.xlsx,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/kenyan-equities,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/kenyan-equities/04-Compounding-and-Simulation.xlsx,Financial model workbook,Companion download; YouTube demonstration,Retained existing file
Kenyan Equities and Company Analysis,~$01-Screening-and-Income.xlsx,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/kenyan-equities,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/kenyan-equities/~$01-Screening-and-Income.xlsx,Financial model workbook,Companion download; YouTube demonstration,Retained existing file
Kenyan Equities and Company Analysis,~$02-Statements-and-Valuation.xlsx,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/kenyan-equities,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/kenyan-equities/~$02-Statements-and-Valuation.xlsx,Financial model workbook,Companion download; YouTube demonstration,Retained existing file
Kenyan Equities and Company Analysis,~$03-Portfolio-Construction.xlsx,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/kenyan-equities,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/kenyan-equities/~$03-Portfolio-Construction.xlsx,Financial model workbook,Companion download; YouTube demonstration,Retained existing file
Kenyan Equities and Company Analysis,~$04-Compounding-and-Simulation.xlsx,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/kenyan-equities,C:/Users/Nevo/Downloads/financial material/outputs/01a0789a-5035-7453-ad64-a71cc94b3211/kenyan-equities/~$04-Compounding-and-Simulation.xlsx,Financial model workbook,Companion download; YouTube demonstration,Retained existing file
African Markets and Business Credit,Facebook Part 1.md,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/African Markets and Business Credit,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/African Markets and Business Credit/Facebook Part 1.md,Facebook draft,Facebook,Created in this package
African Markets and Business Credit,Facebook Part 2.md,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/African Markets and Business Credit,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/African Markets and Business Credit/Facebook Part 2.md,Facebook draft,Facebook,Created in this package
African Markets and Business Credit,Part 1 - African Capital and Kenya.pdf,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/African Markets and Business Credit/PDF,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/African Markets and Business Credit/PDF/Part 1 - African Capital and Kenya.pdf,Article reading edition,Companion download for LinkedIn; Substack; Medium; Facebook adaptation,Created in this package
African Markets and Business Credit,Part 2 - Business Credit and Fintech.pdf,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/African Markets and Business Credit/PDF,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/African Markets and Business Credit/PDF/Part 2 - Business Credit and Fintech.pdf,Article reading edition,Companion download for LinkedIn; Substack; Medium; Facebook adaptation,Created in this package
African Markets and Business Credit,Project Index.md,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/African Markets and Business Credit,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/African Markets and Business Credit/Project Index.md,Publication index or planning record,Editorial organisation,Created in this package
African Markets and Business Credit,Part 1 - African Capital and Kenya.docx,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/African Markets and Business Credit/Word,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/African Markets and Business Credit/Word/Part 1 - African Capital and Kenya.docx,Editable article and matching appendix,Editing; source for platform drafts,Created in this package
African Markets and Business Credit,Part 2 - Business Credit and Fintech.docx,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/African Markets and Business Credit/Word,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/African Markets and Business Credit/Word/Part 2 - Business Credit and Fintech.docx,Editable article and matching appendix,Editing; source for platform drafts,Created in this package
African Markets and Business Credit,YouTube Storyboards.md,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/African Markets and Business Credit,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/African Markets and Business Credit/YouTube Storyboards.md,Video production plan,YouTube production,Created in this package
Shared collection,All Files.csv,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/All Files.csv,Publication index or planning record,Editorial organisation,Created in this package
Shared collection,All Files.md,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/All Files.md,Publication index or planning record,Editorial organisation,Created in this package
International Investing and Diaspora Finance,Part 1 - Choosing the Investment.pdf,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/International Investing and Diaspora Finance/PDF,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/International Investing and Diaspora Finance/PDF/Part 1 - Choosing the Investment.pdf,Article reading edition,Companion download for LinkedIn; Substack; Medium,Created in this package
International Investing and Diaspora Finance,Part 2 - When the Investor Moves.pdf,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/International Investing and Diaspora Finance/PDF,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/International Investing and Diaspora Finance/PDF/Part 2 - When the Investor Moves.pdf,Article reading edition,Companion download for LinkedIn; Substack; Medium,Created in this package
International Investing and Diaspora Finance,Part 3 - Moving Money with Purpose.pdf,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/International Investing and Diaspora Finance/PDF,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/International Investing and Diaspora Finance/PDF/Part 3 - Moving Money with Purpose.pdf,Article reading edition,Companion download for LinkedIn; Substack; Medium,Created in this package
International Investing and Diaspora Finance,Project Index.md,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/International Investing and Diaspora Finance,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/International Investing and Diaspora Finance/Project Index.md,Publication index or planning record,Editorial organisation,Created in this package
International Investing and Diaspora Finance,Part 1 - Choosing the Investment.docx,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/International Investing and Diaspora Finance/Word,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/International Investing and Diaspora Finance/Word/Part 1 - Choosing the Investment.docx,Editable article and matching appendix,Editing; source for platform drafts,Created in this package
International Investing and Diaspora Finance,Part 2 - When the Investor Moves.docx,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/International Investing and Diaspora Finance/Word,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/International Investing and Diaspora Finance/Word/Part 2 - When the Investor Moves.docx,Editable article and matching appendix,Editing; source for platform drafts,Created in this package
International Investing and Diaspora Finance,Part 3 - Moving Money with Purpose.docx,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/International Investing and Diaspora Finance/Word,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/International Investing and Diaspora Finance/Word/Part 3 - Moving Money with Purpose.docx,Editable article and matching appendix,Editing; source for platform drafts,Created in this package
International Investing and Diaspora Finance,YouTube Storyboards.md,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/International Investing and Diaspora Finance,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/International Investing and Diaspora Finance/YouTube Storyboards.md,Video production plan,YouTube production,Created in this package
Kenyan Equities and Company Analysis,Part 1 - Building an Income and Research Universe.pdf,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis/PDF,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis/PDF/Part 1 - Building an Income and Research Universe.pdf,Article reading edition,Companion download for LinkedIn; Substack; Medium,Created in this package
Kenyan Equities and Company Analysis,Part 2 - Reading Businesses and Estimating Value.pdf,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis/PDF,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis/PDF/Part 2 - Reading Businesses and Estimating Value.pdf,Article reading edition,Companion download for LinkedIn; Substack; Medium,Created in this package
Kenyan Equities and Company Analysis,Part 3 - Constructing Portfolios with a Purpose.pdf,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis/PDF,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis/PDF/Part 3 - Constructing Portfolios with a Purpose.pdf,Article reading edition,Companion download for LinkedIn; Substack; Medium,Created in this package
Kenyan Equities and Company Analysis,Part 4 - Compounding Through Uncertain Markets.pdf,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis/PDF,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis/PDF/Part 4 - Compounding Through Uncertain Markets.pdf,Article reading edition,Companion download for LinkedIn; Substack; Medium,Created in this package
Kenyan Equities and Company Analysis,Project Index.md,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis/Project Index.md,Publication index or planning record,Editorial organisation,Created in this package
Kenyan Equities and Company Analysis,Part 1 - Building an Income and Research Universe.docx,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis/Word,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis/Word/Part 1 - Building an Income and Research Universe.docx,Editable article and matching appendix,Editing; source for platform drafts,Created in this package
Kenyan Equities and Company Analysis,Part 2 - Reading Businesses and Estimating Value.docx,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis/Word,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis/Word/Part 2 - Reading Businesses and Estimating Value.docx,Editable article and matching appendix,Editing; source for platform drafts,Created in this package
Kenyan Equities and Company Analysis,Part 3 - Constructing Portfolios with a Purpose.docx,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis/Word,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis/Word/Part 3 - Constructing Portfolios with a Purpose.docx,Editable article and matching appendix,Editing; source for platform drafts,Created in this package
Kenyan Equities and Company Analysis,Part 4 - Compounding Through Uncertain Markets.docx,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis/Word,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis/Word/Part 4 - Compounding Through Uncertain Markets.docx,Editable article and matching appendix,Editing; source for platform drafts,Created in this package
Kenyan Equities and Company Analysis,YouTube Storyboards.md,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Equities and Company Analysis/YouTube Storyboards.md,Video production plan,YouTube production,Created in this package
Kenyan Tax and Household Finance,Part 1 - What Your Payslip Can Actually Fund.pdf,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance/PDF,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance/PDF/Part 1 - What Your Payslip Can Actually Fund.pdf,Article reading edition,Companion download for LinkedIn; Substack; Medium,Created in this package
Kenyan Tax and Household Finance,Part 2 - Building a Pension That Can Pay for Life.pdf,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance/PDF,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance/PDF/Part 2 - Building a Pension That Can Pay for Life.pdf,Article reading edition,Companion download for LinkedIn; Substack; Medium,Created in this package
Kenyan Tax and Household Finance,Part 3 - Paying for Healthcare Without Unravelling the Household.pdf,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance/PDF,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance/PDF/Part 3 - Paying for Healthcare Without Unravelling the Household.pdf,Article reading edition,Companion download for LinkedIn; Substack; Medium,Created in this package
Kenyan Tax and Household Finance,Part 4 - A Home the Household Can Keep.pdf,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance/PDF,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance/PDF/Part 4 - A Home the Household Can Keep.pdf,Article reading edition,Companion download for LinkedIn; Substack; Medium,Created in this package
Kenyan Tax and Household Finance,Project Index.md,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance/Project Index.md,Publication index or planning record,Editorial organisation,Created in this package
Kenyan Tax and Household Finance,Part 1 - What Your Payslip Can Actually Fund.docx,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance/Word,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance/Word/Part 1 - What Your Payslip Can Actually Fund.docx,Editable article and matching appendix,Editing; source for platform drafts,Created in this package
Kenyan Tax and Household Finance,Part 2 - Building a Pension That Can Pay for Life.docx,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance/Word,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance/Word/Part 2 - Building a Pension That Can Pay for Life.docx,Editable article and matching appendix,Editing; source for platform drafts,Created in this package
Kenyan Tax and Household Finance,Part 3 - Paying for Healthcare Without Unravelling the Household.docx,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance/Word,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance/Word/Part 3 - Paying for Healthcare Without Unravelling the Household.docx,Editable article and matching appendix,Editing; source for platform drafts,Created in this package
Kenyan Tax and Household Finance,Part 4 - A Home the Household Can Keep.docx,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance/Word,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance/Word/Part 4 - A Home the Household Can Keep.docx,Editable article and matching appendix,Editing; source for platform drafts,Created in this package
Kenyan Tax and Household Finance,YouTube Storyboards.md,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Kenyan Tax and Household Finance/YouTube Storyboards.md,Video production plan,YouTube production,Created in this package
Shared collection,Posting Log.csv,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Posting Log.csv,Publication index or planning record,Editorial organisation,Created in this package
Shared collection,Publishing Destinations.md,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Publishing Destinations.md,Publication index or planning record,Editorial organisation,Created in this package
Shared collection,README.md,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/README.md,Publication index or planning record,Editorial organisation,Created in this package
Shared collection,Slide and Research Question Index.csv,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Slide and Research Question Index.csv,Slide and question map,YouTube production,Created in this package
Shared collection,Technical Files.csv,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/Technical Files.csv,Publication index or planning record,Editorial organisation,Created in this package
Shared collection,YouTube Production Plan.md,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production,C:/Users/Nevo/Downloads/financial material/Publishing and Video Production/YouTube Production Plan.md,Video production plan,YouTube production,Created in this package
Shared collection,THEMES.md,C:/Users/Nevo/Downloads/financial material,C:/Users/Nevo/Downloads/financial material/THEMES.md,Research record or supporting data,Research and reproducibility,Retained existing file
